course_id,section_id,instructor,enrollment_status,enrollment_count,enrollment_capacity,waitlist_status,waitlist_count,waitlist_capacity,created_at
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 13:02:07.945366
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 14:01:54.994512
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 15:01:26.477064
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 16:01:50.209416
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 17:01:49.894614
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 18:01:49.820093
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 19:01:48.082438
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 20:01:46.598844
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 21:01:51.874495
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 22:01:48.344439
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-14 23:01:47.012357
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 00:01:45.446238
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 01:01:54.046364
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 02:01:48.205803
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 03:01:48.991021
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 04:01:48.285843
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 05:01:53.336132
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 06:01:52.60429
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 07:01:34.462846
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 08:01:51.566682
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 09:01:51.656282
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 10:01:49.760678
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 11:00:36.685816
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 12:01:52.956409
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 13:01:43.710251
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 14:01:49.781323
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 15:01:55.761266
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 16:01:49.858501
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 17:02:20.142842
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 18:01:55.704879
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 19:01:55.61348
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 20:01:49.326713
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 21:01:54.151028
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 22:01:53.867104
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-15 23:01:52.833067
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 00:01:47.572308
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 01:01:34.61004
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 02:01:53.078949
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 03:01:49.46964
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 04:02:20.957824
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 05:00:50.512253
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 06:01:46.821534
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 07:01:50.337962
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 08:01:51.382036
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 09:01:49.968467
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 10:01:54.840827
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 11:00:58.154847
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 12:01:46.430338
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 13:01:54.909974
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 14:01:53.211873
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 15:01:34.268738
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 16:01:53.337782
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 17:00:58.714733
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 18:01:29.698175
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 19:01:48.875512
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 20:01:41.121058
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 21:01:48.087857
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 22:00:56.364833
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-16 23:01:50.8483
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 00:02:18.869952
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 01:00:53.712331
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 02:01:41.85978
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 03:01:33.090592
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 04:01:40.596638
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 05:01:31.528699
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 06:01:35.491134
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 07:01:29.37085
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 08:01:38.99885
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 09:01:43.72076
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 10:01:39.845805
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 11:01:39.588283
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 12:01:41.921965
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 13:01:33.941166
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 14:01:40.502848
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 15:02:36.057558
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 16:01:37.202341
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 17:01:32.854241
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 18:01:41.334849
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 19:02:14.535169
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 20:01:52.16147
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 21:01:49.789565
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 22:01:58.408382
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-17 23:01:17.776624
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 00:01:57.311115
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 01:01:34.37251
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 02:00:54.689888
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 03:01:53.373138
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 04:00:49.459532
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 05:01:38.312424
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 06:01:40.305871
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 07:01:40.975887
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 08:01:40.100713
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 09:01:34.819279
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 10:01:39.348047
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 11:01:57.799645
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 12:01:18.355493
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 13:01:27.260387
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 14:02:22.941591
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 15:01:55.994945
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 16:01:40.136393
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 17:01:42.652708
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 18:01:42.454845
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 19:01:39.451066
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 20:01:37.015582
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 21:01:39.338272
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 22:01:06.318849
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-18 23:01:40.058727
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 00:01:45.825635
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 01:01:35.549071
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 02:01:32.657893
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 03:01:34.981633
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 04:00:52.335218
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 05:01:47.674084
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 06:01:38.16527
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 07:01:49.866848
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 08:01:32.710925
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 09:01:37.000435
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 10:01:39.138846
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 11:01:35.488375
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 12:01:36.166846
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 13:01:01.112452
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 14:00:44.962331
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 15:01:38.708877
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 16:01:35.802987
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 17:01:37.046848
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 18:01:45.191997
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 19:01:42.536522
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 20:01:34.483817
